timestamp,x,y,z
0,2.56,3.1,5.41
10,2.52,4.27,4.27
20,2.39,5.63,3.64
30,2.23,6.42,3.65
40,2.19,5.63,3.87
50,2.11,4.26,4.13
60,2.09,2.07,4.44
70,2.09,-0.1,4.95
80,2.06,-1.92,5.48
90,2.03,-2.86,6.09
100,2.08,-2.93,6.81
110,2.1,-2.6,7.51
120,2.15,-2.42,7.98
130,2.33,-3.35,8.0
140,2.58,-5.15,7.1
150,2.86,-6.81,5.9
160,3.14,-8.03,5.5
170,3.39,-8.72,5.88
180,3.77,-8.45,6.55
190,4.24,-8.58,7.02
200,4.69,-8.18,8.66
210,4.82,-7.8,11.73
220,4.91,-7.29,14.16
230,4.82,-7.0,15.65
240,4.6,-7.02,16.59
250,4.27,-7.06,16.64
260,3.87,-6.96,15.99
270,3.74,-6.96,15.53
280,3.66,-6.81,15.46
290,3.6,-6.36,15.95
300,3.49,-5.44,16.86
310,3.66,-4.37,17.49
320,3.9,-2.7,17.72
330,4.1,-0.64,17.08
340,4.14,2.09,16.26
350,3.87,4.59,15.44
360,3.61,6.2,15.07
370,3.27,6.92,15.18
380,3.04,6.88,15.5
390,2.86,6.75,15.63
400,2.75,6.71,15.42
410,2.82,6.38,14.99
420,2.94,6.18,14.16
430,3.12,6.0,13.29
440,3.28,5.71,12.63
450,3.28,5.73,11.88
460,3.47,5.45,11.06
470,3.58,5.01,9.8
480,3.8,4.3,8.54
490,3.86,3.79,7.33
500,3.67,3.53,6.66
510,3.62,3.02,6.18
520,3.48,2.55,5.67
530,3.51,2.27,5.3
540,3.37,2.6,4.88
550,0.75,2.92,2.03
560,5.86,-1.41,-3.23
570,6.51,-6.55,-0.96
580,2.91,-1.38,4.94
590,2.43,1.27,10.4
600,3.15,-2.04,10.05
610,2.89,-3.13,8.4
620,2.85,-4.16,7.92
630,2.78,-4.82,7.62
640,2.58,-5.12,6.94
650,2.48,-5.43,6.32
660,2.41,-5.34,5.38
670,2.37,-4.64,4.23
680,2.6,-3.79,3.51
690,2.78,-3.27,3.84
700,3.34,-3.22,5.01
710,3.43,-3.63,7.74
720,3.37,-5.62,10.74
730,3.26,-6.58,12.07
740,3.26,-6.58,12.42
750,3.42,-6.16,12.39
760,3.59,-5.6,12.47
770,3.6,-5.26,13.64
780,3.47,-4.64,16.23
790,3.26,-4.67,18.2
800,3.1,-4.87,19.32
810,2.95,-4.76,19.93
820,2.87,-4.06,20.17
830,2.99,-3.59,19.59
840,3.25,-2.56,18.31
850,3.44,-0.96,16.79
860,3.5,0.92,15.28
870,3.43,2.14,14.1
880,3.34,3.02,13.63
890,3.17,4.08,13.33
900,2.88,5.31,13.84
910,2.71,6.42,14.6
920,2.63,7.17,15.1
930,2.76,7.48,14.97
940,2.87,7.52,14.2
950,2.98,7.17,12.92
960,3.04,6.76,11.15
970,3.03,6.18,10.04
980,2.98,5.49,9.07
990,2.93,4.89,8.36
1000,2.85,4.75,7.9
