timestamp,x,y,z
0,5.45,-7.32,3.68
10,5.49,-7.32,3.66
20,5.53,-7.32,3.65
30,5.55,-7.31,3.66
40,5.56,-7.21,3.71
50,5.56,-7.16,3.78
60,5.56,-7.11,3.9
70,5.6,-7.1,3.96
80,5.61,-7.14,3.99
90,5.61,-7.2,4.0
100,5.6,-7.24,3.98
110,5.46,-7.35,3.86
120,5.41,-7.28,3.78
130,5.32,-7.31,3.62
140,5.17,-7.46,3.39
150,5.07,-7.68,3.18
160,4.93,-7.88,3.03
170,4.82,-8.0,3.0
180,4.72,-7.95,3.27
190,4.63,-7.81,3.5
200,4.55,-7.73,3.52
210,4.49,-7.65,3.46
220,4.45,-7.58,3.42
230,4.43,-7.72,3.2
240,4.46,-7.94,2.86
250,4.43,-8.31,2.44
260,4.34,-8.92,2.26
270,4.17,-9.26,2.55
280,4.07,-8.63,3.21
290,4.02,-7.41,3.87
300,4.01,-6.03,4.38
310,4.24,-4.73,4.81
320,5.07,-3.59,5.44
330,6.88,-2.4,6.61
340,8.91,-1.92,8.18
350,10.56,-2.89,8.95
360,12.01,-5.04,8.56
370,12.56,-7.63,7.23
380,12.08,-9.92,5.25
390,11.19,-11.64,2.69
400,9.71,-12.21,1.03
410,8.09,-11.46,0.42
420,6.59,-10.16,0.66
430,5.37,-8.85,0.8
440,4.35,-7.22,1.22
450,3.24,-5.9,1.74
460,2.49,-5.11,2.62
470,1.85,-4.92,3.56
480,1.46,-5.24,3.66
490,1.31,-4.54,4.35
500,0.46,-4.58,5.5
510,0.15,-4.8,6.43
520,0.23,-4.58,6.6
530,0.39,-3.64,5.76
540,1.26,-1.96,4.09
550,9.59,0.33,7.45
560,11.78,-3.68,6.35
570,12.32,-5.01,3.82
580,14.26,-7.58,1.45
590,11.31,-7.44,0.4
600,8.28,-6.52,0.54
610,6.5,-6.04,0.32
620,5.32,-4.95,0.56
630,6.25,-4.66,0.27
640,8.75,-5.85,-0.12
650,10.92,-7.13,0.24
660,10.83,-7.24,0.8
670,7.79,-5.43,-0.05
680,5.91,-4.26,-1.45
690,6.06,-3.93,-2.01
700,9.2,-5.6,-1.5
710,9.12,-7.1,-2.96
720,9.45,-5.75,-4.69
730,5.37,-4.39,-2.8
740,8.09,-5.62,-0.86
750,8.24,-5.51,0.44
760,10.61,-3.31,-8.31
770,6.31,-2.61,-6.06
780,9.01,-3.65,-9.4
790,9.46,-7.31,-6.13
800,10.1,-7.54,-7.52
810,7.68,-8.05,-6.4
820,6.76,-7.71,-4.98
830,6.44,-8.29,-5.57
840,5.71,-7.19,-4.92
850,5.9,-5.8,-3.42
860,6.89,-4.72,-1.66
870,7.61,-3.01,1.84
880,7.67,-3.11,4.27
890,6.89,-7.77,4.63
900,6.18,-9.22,2.53
910,5.92,-6.68,1.13
920,5.98,-5.8,1.24
930,6.68,-7.79,2.58
940,15.33,-6.76,5.97
950,8.7,-12.05,5.58
960,5.55,-9.68,4.96
970,3.76,-4.58,1.3
980,3.58,-5.03,-10.07
990,3.34,-10.23,-8.33
1000,4.39,-9.52,-3.69
