timestamp,x,y,z
0,0.55,-3.49,8.92
10,0.06,-3.46,8.55
20,-0.6,-3.4,8.26
30,-1.32,-3.15,8.03
40,-2.2,-3.07,7.9
50,-3.27,-2.78,7.79
60,-4.48,-2.47,7.42
70,-5.95,-2.09,6.94
80,-7.56,-1.39,6.56
90,-9.17,-0.06,6.48
100,-11.04,1.36,6.73
110,-12.95,3.21,7.52
120,-14.43,5.45,8.65
130,-15.14,7.86,10.3
140,-14.3,9.83,11.86
150,-12.26,11.26,13.46
160,-9.44,11.55,14.8
170,-6.5,10.83,15.26
180,-3.41,10.02,14.7
190,-0.66,9.77,13.56
200,1.87,10.2,12.08
210,4.69,11.06,10.83
220,7.85,11.68,10.07
230,11.0,11.65,9.93
240,14.04,10.96,10.03
250,16.89,9.08,9.79
260,18.4,7.06,9.05
270,19.34,5.97,8.23
280,20.51,5.87,7.71
290,21.93,6.0,7.49
300,23.48,5.8,7.88
310,25.04,5.03,8.6
320,26.6,4.52,9.39
330,27.82,4.13,10.28
340,27.76,3.68,10.62
350,26.33,4.3,10.48
360,23.69,5.43,9.45
370,20.61,7.03,8.17
380,17.92,8.23,7.09
390,15.86,8.55,6.54
400,14.53,8.23,6.6
410,13.63,7.77,7.37
420,12.61,7.37,8.47
430,11.15,7.36,9.45
440,9.23,7.81,10.09
450,6.88,8.08,10.47
460,3.86,8.61,10.44
470,0.62,9.07,10.83
480,-3.42,10.04,11.56
490,-7.53,11.34,12.34
500,-11.03,14.26,13.44
510,-14.55,17.69,15.22
520,-17.27,20.87,17.44
530,-19.36,22.5,20.24
540,-19.5,21.72,23.7
550,-17.78,19.09,27.47
560,-15.08,16.26,29.93
570,-12.1,13.79,29.77
580,-10.28,13.0,28.45
590,-8.92,12.79,25.52
600,-7.52,13.06,21.79
610,-6.0,13.93,17.73
620,-4.83,14.44,14.06
630,-3.75,14.73,11.57
640,-2.61,14.54,9.98
650,-1.52,14.17,9.12
660,-0.58,13.74,8.62
670,0.13,13.4,8.14
680,0.41,12.5,7.71
690,1.05,12.14,7.35
700,3.16,13.21,7.48
710,6.41,14.36,8.4
720,10.39,14.9,10.2
730,15.38,15.32,12.86
740,20.93,15.26,15.49
750,26.19,14.23,17.65
760,29.88,12.49,18.28
770,31.62,9.74,17.41
780,31.1,6.83,15.53
790,28.46,4.28,12.68
800,24.38,1.97,8.95
810,19.64,0.68,5.51
820,15.32,-0.01,4.21
830,11.65,0.43,3.62
840,7.91,0.3,2.72
850,5.01,1.38,3.65
860,2.89,2.3,4.67
870,1.43,1.75,6.41
880,0.75,1.11,8.59
890,0.4,0.08,10.51
900,0.1,-0.68,11.76
910,-0.57,-1.44,12.15
920,-1.45,-1.4,11.81
930,-2.42,-0.96,11.21
940,-3.2,-0.31,10.72
950,-3.6,0.23,10.53
960,-3.35,0.87,10.86
970,-2.43,1.0,11.64
980,-1.07,0.79,12.5
990,0.23,0.25,13.0
1000,1.11,-0.28,12.98
